"Designator","Value","Q","Package","Category","Stock","Manufacturer","MPN","Datasheet","Vendor","Link","Unit","Total","MOQ","Description"
"U5, ","A3212ELHLT-T","1","","","","","","","","","","0","","A3212ELHLT-T: "
"U6, ","TPL5010","1","","","","","","","","","","0","","20021121-00014T4LF: "
"U7, ","AT25SF128A-MHB-T","1","","","","","","","","","","0","","AT25SF128A-MHB-T: "
"U8, ","STM32L471VETx","1","","","","","","https://www.st.com/resource/en/datasheet/stm32l471ve.pdf","","","","0","","STM32L471VETx: STMicroelectronics Arm Cortex-M4 MCU, 512KB flash, 128KB RAM, 80 MHz, 1.71-3.6V, 82 GPIO, LQFP100"
"U9, ","74LVC2G126DP,125","1","","","","","","","","","","0","","74LVC2G126DP,125: "
"U10, ","LMR51440SDRRR","1","","","","","","","","","","0","","LMR514x0: "
"U11, ","MCP2542FDT-E/SN","1","","","","","","","","","","0","","MCP2542FDT: "
"U12, ","RNBD451PE-I100","1","","","","","","","","","","0","","RNBD45_IPE-1100: "
"U14, ","bq27441","1","","","","","","","","","","0","","bq27441: "
"U15, ","SN74AXCH8T245","1","","","","","","","","","","0","","SN74AXCH8T245: "
"U16, ","TPS22996DRLR","1","","","","","","","","","","0","","TPS22996: "
"U17, ","SARA-S520BM10 ","1","","","","","","","","","","0","","SARA-R520BM10: "
"U18, ","TPS63020DSJT","1","","","","","","","","","","0","","TPS63020: "
"U19, U20, U22, U23, ","TPS7A0530PDBV","4","","","","","","https://www.ti.com/lit/ds/symlink/tps7a05.pdf","","","","0","","TPS7A0530PDBV: 200-mA Ultra-Low-Iq LDO, 3.0V, SOT-23-5"
"U21, ","TPS7A2450DBVR","1","","","","","","https://www.ti.com/lit/ds/symlink/tps7a05.pdf","","","","0","","TPS7A0530PDBV: 200-mA Ultra-Low-Iq LDO, 3.0V, SOT-23-5"
"U24, ","UICC-4FF","1","","","","","","","","","","0","","UICC-4FF: "
"X1, ","CRYSTAL 8.0MHZ","1","","","","","","","","","","0","","CRYSTAL 8.0000MHZ: "
"X2, X3, ","CRYSTAL 32.768KHZ-6-T","2","","","","","","","","","","0","","CRYSTAL32.768KHZ-6-T: "
