"#","Reference","Value","Footprint","Qty","Tolerance","Voltage","Wattage","Current","Frequency","Dielectric","Datasheet","Cost @ 10000","Total Gross"
"79","U2, U12, U14, ","TPS7A0328DBVR","SOT-23-5","3","","","","","","","https://www.mouser.com/ProductDetail/Texas-Instruments/TPS7A0328DBVR?qs=zW32dvEIR3vPYqej%2FkOU4A%3D%3D","$0.21","$0.6300"
"80","U3, ","STM32L471VE","LQFP-100_14x14mm_P0.5mm","1","","","","","","","https://estore.st.com/en/stm32l471vet6tr-cpn.html","$4.39","$4.3900"
"81","U5, ","IIS2DLPCTR","12-LGA","1","","","","","","","https://www.mouser.com/ProductDetail/STMicroelectronics/IIS2DLPCTR?qs=%252BEew9%252B0nqrCvhJ3eU7R1xw%3D%3D","$1.52","$1.5200"
"82","U6, ","AT25SF128A-MHB-T","8-UDFN","1","","","","","","","https://www.mouser.com/ProductDetail/Renesas-Dialog/AT25SF128A-MHB-T?qs=IS%252B4QmGtzzqMF1VmuWN5Yg%3D%3D","$1.42","$1.4200"
"83","U7, ","LMR51440SDRRR","WSON-12","1","","","","","","","https://www.mouser.com/ProductDetail/Texas-Instruments/LMR51440SDRRR?qs=rQFj71Wb1eUjwSg4Sp%252Bx6g%3D%3D","$1.04","$1.0400"
"84","U8, ","MAX16013TT+T","6-TDFN","1","","","","","","","https://www.mouser.com/ProductDetail/Analog-Devices-Maxim-Integrated/MAX16013TT%2bT?qs=S0kZczzPnwlpMoc3WZLQQw%3D%3D","$4.37","$4.3700"
"85","U9, ","SN74AXCH8T245","TSSOP-24","1","","","","","","","https://www.mouser.com/ProductDetail/Texas-Instruments/SN74AXCH8T245PWR?qs=w%2Fv1CP2dgqon6ZzW%252BKU%252BAQ%3D%3D","$0.535","$0.5350"
"86","U10, ","TPS63020DSJT","","1","","","","","","","https://www.mouser.com/ProductDetail/Texas-Instruments/TPS63020DSJT?qs=C44r%252BX3hXgJYbV0DTxL5zA%3D%3D","$2.24","$2.2400"
"87","U11, ","SARA-S520BM10","","1","","","","","","","Ublox","$16.00","$16.0000"
"88","U13, ","RNBD451PE-I100","","1","","","","","","","https://www.digikey.com/en/products/detail/microchip-technology/rnbd451pe-i100/18443756","$6.50","$6.5000"
"89","X2, ","32.768KHZ","SMD","1","","","","","32.768KHZ","","","$0.358","$0.3580"
